City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,salinopolis,-0.6136,-47.3561,26.32,83,13,4.21,BR,1686093520
305,sayanogorsk,53.0875,91.3997,19.6,66,2,1.18,RU,1686093326
306,hajin,34.6927,40.827,27.94,23,1,3.83,SY,1686093326
307,tsiombe,-25.3,45.4833,20.02,97,9,2.72,MG,1686093326
308,bei'an,24.5399,109.533,24.39,89,9,1.58,CN,1686093326
309,lenino,45.2986,35.7771,16.0,75,54,4.3,UA,1686093326
310,sao jose da coroa grande,-8.8978,-35.1478,25.04,81,32,2.7,BR,1686093521
311,olonkinbyen,70.9221,-8.7187,0.72,83,100,2.71,SJ,1686093327
312,coquimbo,-29.9533,-71.3436,13.85,94,0,2.57,CL,1686093406
313,ancud,-41.8697,-73.8203,8.8,85,60,2.65,CL,1686093522
314,nova vicosa,-17.8919,-39.3719,22.81,69,39,4.01,BR,1686093522
315,tarko-sale,64.9225,77.785,15.39,52,61,4.72,RU,1686093327
316,arsk,56.0915,49.8778,10.57,80,100,3.46,RU,1686093327
317,pauini,-7.7136,-66.9764,23.84,95,95,0.82,BR,1686093328
318,nadym,65.5333,72.5167,13.73,60,78,4.64,RU,1686093328
319,uyuni,-20.4597,-66.825,4.73,18,0,2.73,BO,1686093263
320,iskateley,67.6803,53.1512,3.28,88,99,6.21,RU,1686093523
321,cozumel,20.5083,-86.9458,30.04,72,40,4.47,MX,1686093328
322,kargasok,59.0556,80.8572,19.59,70,93,2.75,RU,1686093328
323,jati,24.3539,68.2671,27.99,85,4,7.54,PK,1686093329
324,burayevo,55.8407,55.4083,10.3,94,100,2.53,RU,1686093329
325,el charco,2.4769,-78.1105,25.87,89,75,1.77,CO,1686093329
326,cheremshan,54.6667,51.5,11.88,76,95,3.44,RU,1686093329
327,whakatane,-37.9585,176.9854,15.43,73,61,5.89,NZ,1686093329
328,rongelap,11.1635,166.8941,27.85,82,93,8.24,MH,1686093524
329,nola,40.922,14.5329,20.91,89,100,0.42,IT,1686093330
330,cruz alta,-28.6386,-53.6064,17.62,73,0,2.54,BR,1686093330
331,wynyard,-41.0,145.7167,14.43,94,54,3.66,AU,1686093330
332,dadukou,26.5479,101.7054,23.97,70,70,1.24,CN,1686093330
